participant_id,total_rows,cold_rows,cold_pct
participant_16,94677,22556,23.82
participant_2,94687,21505,22.71
participant_19,101163,16383,16.19
participant_11,101164,10132,10.02
participant_15,96220,0,0.0
participant_14,95568,0,0.0
participant_17,104246,0,0.0
participant_10,98429,0,0.0
participant_18,101344,0,0.0
participant_20,99774,0,0.0
participant_21,100151,0,0.0
participant_3,95000,0,0.0
participant_4,96094,0,0.0
participant_6,93353,0,0.0
participant_7,98540,0,0.0
participant_8,96318,0,0.0
