transition_id,participant_id,seconds_to_onset,Ambient_Temperature,Wrist_Skin_Temperature
1,participant_2,-59.976190476190474,23.2,34.31
1,participant_2,-59.95238095238095,23.2,34.31
1,participant_2,-59.92857142857143,23.2,34.31
1,participant_2,-59.904761904761905,23.2,34.31
1,participant_2,-59.88095238095238,23.2,34.31
1,participant_2,-59.857142857142854,23.2,34.31
1,participant_2,-59.833333333333336,23.2,34.31
1,participant_2,-59.80952380952381,23.2,34.31
1,participant_2,-59.785714285714285,23.2,34.31
1,participant_2,-59.76190476190476,23.2,34.31
1,participant_2,-59.73809523809524,23.2,34.31
1,participant_2,-59.714285714285715,23.2,34.31
1,participant_2,-59.69047619047619,23.2,34.31
1,participant_2,-59.666666666666664,23.2,34.31
1,participant_2,-59.642857142857146,23.2,34.31
1,participant_2,-59.61904761904762,23.2,34.31
1,participant_2,-59.595238095238095,23.2,34.31
1,participant_2,-59.57142857142857,23.2,34.31
1,participant_2,-59.54761904761905,23.2,34.31
1,participant_2,-59.523809523809526,23.2,34.31
1,participant_2,-59.5,23.2,34.31
1,participant_2,-59.476190476190474,23.2,34.31
1,participant_2,-59.45238095238095,23.2,34.31
1,participant_2,-59.42857142857143,23.2,34.31
1,participant_2,-59.404761904761905,23.2,34.31
1,participant_2,-59.38095238095238,23.2,34.31
1,participant_2,-59.357142857142854,23.2,34.31
1,participant_2,-59.333333333333336,23.2,34.31
1,participant_2,-59.30952380952381,23.2,34.31
1,participant_2,-59.285714285714285,23.2,34.33
1,participant_2,-59.26190476190476,23.2,34.33
1,participant_2,-59.23809523809524,23.2,34.33
1,participant_2,-59.214285714285715,23.2,34.33
1,participant_2,-59.19047619047619,23.2,34.33
1,participant_2,-59.166666666666664,23.2,34.33
1,participant_2,-59.142857142857146,23.2,34.33
1,participant_2,-59.11904761904762,23.2,34.33
1,participant_2,-59.095238095238095,23.2,34.33
1,participant_2,-59.07142857142857,23.2,34.33
1,participant_2,-59.04761904761905,23.2,34.33
1,participant_2,-59.023809523809526,23.2,34.33
1,participant_2,-59.0,23.2,34.33
1,participant_2,-58.976190476190474,23.2,34.33
1,participant_2,-58.95238095238095,23.2,34.33
1,participant_2,-58.92857142857143,23.2,34.33
1,participant_2,-58.904761904761905,23.2,34.33
1,participant_2,-58.88095238095238,23.2,34.33
1,participant_2,-58.857142857142854,23.2,34.33
1,participant_2,-58.833333333333336,23.2,34.33
1,participant_2,-58.80952380952381,23.2,34.33
1,participant_2,-58.785714285714285,23.2,34.33
1,participant_2,-58.76190476190476,23.2,34.33
1,participant_2,-58.73809523809524,23.2,34.33
1,participant_2,-58.714285714285715,23.2,34.33
1,participant_2,-58.69047619047619,23.2,34.33
1,participant_2,-58.666666666666664,23.2,34.33
1,participant_2,-58.642857142857146,23.2,34.33
1,participant_2,-58.61904761904762,23.2,34.33
1,participant_2,-58.595238095238095,23.2,34.33
1,participant_2,-58.57142857142857,23.2,34.33
1,participant_2,-58.54761904761905,23.2,34.33
1,participant_2,-58.523809523809526,23.2,34.33
1,participant_2,-58.5,23.2,34.33
1,participant_2,-58.476190476190474,23.2,34.33
1,participant_2,-58.45238095238095,23.2,34.33
1,participant_2,-58.42857142857143,23.2,34.33
1,participant_2,-58.404761904761905,23.2,34.33
1,participant_2,-58.38095238095238,23.2,34.33
1,participant_2,-58.357142857142854,23.2,34.33
1,participant_2,-58.333333333333336,23.2,34.33
1,participant_2,-58.30952380952381,23.2,34.33
1,participant_2,-58.285714285714285,23.2,34.33
1,participant_2,-58.26190476190476,23.2,34.33
1,participant_2,-58.23809523809524,23.2,34.33
1,participant_2,-58.214285714285715,23.2,34.33
1,participant_2,-58.19047619047619,23.2,34.33
1,participant_2,-58.166666666666664,23.2,34.33
1,participant_2,-58.142857142857146,23.2,34.33
1,participant_2,-58.11904761904762,23.2,34.33
1,participant_2,-58.095238095238095,23.2,34.33
1,participant_2,-58.07142857142857,23.2,34.33
1,participant_2,-58.04761904761905,23.2,34.33
1,participant_2,-58.023809523809526,23.2,34.33
1,participant_2,-58.0,23.2,34.33
1,participant_2,-57.976190476190474,23.2,34.33
1,participant_2,-57.95238095238095,23.2,34.33
1,participant_2,-57.92857142857143,23.2,34.33
1,participant_2,-57.904761904761905,23.2,34.33
1,participant_2,-57.88095238095238,23.2,34.33
1,participant_2,-57.857142857142854,23.2,34.33
1,participant_2,-57.833333333333336,23.2,34.33
1,participant_2,-57.80952380952381,23.2,34.33
1,participant_2,-57.785714285714285,23.2,34.33
1,participant_2,-57.76190476190476,23.2,34.33
1,participant_2,-57.73809523809524,23.2,34.33
1,participant_2,-57.714285714285715,23.2,34.33
1,participant_2,-57.69047619047619,23.2,34.33
1,participant_2,-57.666666666666664,23.2,34.33
1,participant_2,-57.642857142857146,23.2,34.33
1,participant_2,-57.61904761904762,23.2,34.33
1,participant_2,-57.595238095238095,23.2,34.33
1,participant_2,-57.57142857142857,23.2,34.33
1,participant_2,-57.54761904761905,23.2,34.33
1,participant_2,-57.523809523809526,23.2,34.33
1,participant_2,-57.5,23.2,34.33
1,participant_2,-57.476190476190474,23.2,34.33
1,participant_2,-57.45238095238095,23.2,34.33
1,participant_2,-57.42857142857143,23.2,34.33
1,participant_2,-57.404761904761905,23.2,34.33
1,participant_2,-57.38095238095238,23.2,34.33
1,participant_2,-57.357142857142854,23.2,34.33
1,participant_2,-57.333333333333336,23.2,34.33
1,participant_2,-57.30952380952381,23.2,34.33
1,participant_2,-57.285714285714285,23.2,34.33
1,participant_2,-57.26190476190476,23.2,34.33
1,participant_2,-57.23809523809524,23.2,34.33
1,participant_2,-57.214285714285715,23.2,34.33
1,participant_2,-57.19047619047619,23.2,34.33
1,participant_2,-57.166666666666664,23.2,34.33
1,participant_2,-57.142857142857146,23.2,34.33
1,participant_2,-57.11904761904762,23.2,34.33
1,participant_2,-57.095238095238095,23.2,34.33
1,participant_2,-57.07142857142857,23.2,34.33
1,participant_2,-57.04761904761905,23.2,34.33
1,participant_2,-57.023809523809526,23.2,34.33
1,participant_2,-57.0,23.2,34.33
1,participant_2,-56.976190476190474,23.2,34.33
1,participant_2,-56.95238095238095,23.2,34.33
1,participant_2,-56.92857142857143,23.2,34.33
1,participant_2,-56.904761904761905,23.2,34.33
1,participant_2,-56.88095238095238,23.2,34.33
1,participant_2,-56.857142857142854,23.2,34.33
1,participant_2,-56.833333333333336,23.2,34.33
1,participant_2,-56.80952380952381,23.2,34.33
1,participant_2,-56.785714285714285,23.2,34.33
1,participant_2,-56.76190476190476,23.2,34.33
1,participant_2,-56.73809523809524,23.2,34.33
1,participant_2,-56.714285714285715,23.2,34.33
1,participant_2,-56.69047619047619,23.2,34.33
1,participant_2,-56.666666666666664,23.2,34.33
1,participant_2,-56.642857142857146,23.2,34.33
1,participant_2,-56.61904761904762,23.2,34.33
1,participant_2,-56.595238095238095,23.2,34.33
1,participant_2,-56.57142857142857,23.2,34.33
1,participant_2,-56.54761904761905,23.2,34.33
1,participant_2,-56.523809523809526,23.2,34.33
1,participant_2,-56.5,23.2,34.33
1,participant_2,-56.476190476190474,23.2,34.33
1,participant_2,-56.45238095238095,23.2,34.33
1,participant_2,-56.42857142857143,23.2,34.33
1,participant_2,-56.404761904761905,23.2,34.33
1,participant_2,-56.38095238095238,23.2,34.33
1,participant_2,-56.357142857142854,23.2,34.33
1,participant_2,-56.333333333333336,23.2,34.33
1,participant_2,-56.30952380952381,23.2,34.33
1,participant_2,-56.285714285714285,23.2,34.33
1,participant_2,-56.26190476190476,23.2,34.33
1,participant_2,-56.23809523809524,23.2,34.33
1,participant_2,-56.214285714285715,23.2,34.33
1,participant_2,-56.19047619047619,23.2,34.33
1,participant_2,-56.166666666666664,23.2,34.33
1,participant_2,-56.142857142857146,23.2,34.33
1,participant_2,-56.11904761904762,23.2,34.33
1,participant_2,-56.095238095238095,23.2,34.33
1,participant_2,-56.07142857142857,23.2,34.33
1,participant_2,-56.04761904761905,23.2,34.33
1,participant_2,-56.023809523809526,23.2,34.33
1,participant_2,-56.0,23.2,34.33
1,participant_2,-55.976190476190474,23.2,34.33
1,participant_2,-55.95238095238095,23.2,34.33
